sample
X	Y
-0.492521797	0.223088392
-0.688231494	0.530894999
-0.563092334	0.652529097
-0.291897919	0.833070534
-0.894864031	0.129183103
-0.749563384	0.645099399
-0.695469477	0.73163568
-0.692694934	0.963634453
-0.344170692	0.223297273
-0.525328475	0.840186032
-0.298344333	0.663342019
-0.377262247	0.615622027
-0.826491018	0.685689577
-0.339074695	0.348482745
-0.571950025	-0.021346398
-0.496190582	0.689684812
-0.868096678	0.768064592
-0.650822333	0.447162738
-0.511209269	0.78033025
-0.068865857	0.02870517
-0.035278774	0.000245385
-0.279647583	0.581977828
-0.114890104	0.760523286
-0.529431309	0.655652193
-0.474150028	0.201275685
-0.168353086	0.104404358
-0.031712335	0.246092256
-0.625410869	0.668793199
-0.089228467	0.682333148
-0.499102256	0.243310988
-0.314402962	0.380745792
-0.75191187	0.300840947
-0.670196959	0.690812306
0.064832451	0.052520719
-0.407362393	0.600921862
-0.077253532	0.100639364
0.00265258	0.715359479
0.139653646	0.33863912
-0.124555491	0.639177239
-0.30449677	0.540439818
-0.524516138	0.115128336
-0.566096055	0.343315675
-0.775566094	0.370386281
-0.056035437	-0.160958482
-0.530119528	0.2673398
-0.613816723	0.484400708
-0.75295735	-0.114069811
-0.278899655	0.660791756
-0.657099828	0.493581526
0.046547005	0.48900229
-0.395671935	-0.069852861
0.191432539	0.620112699
-0.494133608	0.338226016
-0.261858539	-0.047287542
-0.538439129	-0.12602348
-0.14177803	0.541860782
-0.26052681	0.077935637
-0.247565952	0.155736256
-0.310167444	-0.176282943
-0.199714404	0.536672048
-0.668111844	0.623528457
-0.580532412	-0.007803129
-0.221064524	0.426775481
-0.288013262	0.099002027
0.153619194	-0.297077389
0.086121743	0.065414786
-0.096643551	-0.082327462
-0.217491954	0.131850576
-0.576197992	-0.017261803
-0.435861453	0.533178442
-0.574429708	-0.187213313
-0.110573216	0.640373071
0.001356577	0.329817007
-0.109260682	-0.137354577
-0.590718612	0.396024671
-0.07914016	0.61593581
-0.247236903	0.367709332
0.346302415	0.344463791
-0.352658431	0.440157151
-0.397048317	-0.36901946
0.26138244	-0.353065465
-0.130608017	0.590615484
-0.367132567	-0.295934135
0.038549602	0.513903844
-0.376352299	-0.395191582
-0.555326586	0.546509146
0.227993006	0.499320941
-0.290681103	0.120484856
-0.393390896	0.205229396
-0.384848282	0.431456046
-0.061494063	0.406760897
0.166409077	0.513180189
0.051934921	0.242169279
-0.017843123	0.528792321
-0.148372314	0.070615096
0.30977833	-0.026293798
-0.270991949	0.429516321
0.025601028	-0.390770763
0.233839404	0.044757553
-0.474988145	-0.333162562
-0.155656495	-0.15213989
-0.433677447	-0.497007394
-0.121020191	-0.108655085
-0.07740644	0.073350693
0.434336755	0.355976234
0.413705248	0.183542599
0.513732176	-0.33640574
0.012195279	-0.153234506
0.233508233	-0.346940863
-0.029253538	0.27197737
0.334166533	-0.539857033
0.397695987	-0.191390964
-0.256527853	0.168681494
0.093539601	-0.166034776
0.27294755	0.304929312
0.48827276	-0.439283636
-0.160826082	-0.464852186
0.37762477	-0.388270908
0.204469551	-0.532946651
0.295620528	-0.007577743
-0.292066766	0.143175432
-0.061134207	-0.021873144
-0.065868392	-0.31863743
0.180425756	0.382801941
-0.176821809	0.078835609
-0.155295493	-0.366201493
0.263115279	-0.387849911
-0.01247949	-0.254137211
0.496873234	-0.309636383
0.595721567	0.319242247
0.538031511	-0.400898308
-0.298141223	-0.074351527
0.429040514	0.171256196
-0.104774577	-0.460932559
-0.014815882	-0.598971431
-0.042330414	0.076070201
0.393195651	-0.107099343
0.547137917	0.056908232
-0.203676479	-0.614377421
0.245327756	0.228359973
0.348369514	-0.572314429
-0.060213301	0.061168663
-0.213702785	-0.370799218
0.638095043	-0.596069488
-0.132783307	-0.162776177
0.547390375	-0.587632591
0.143518392	0.125887678
0.34752061	0.110550951
-0.191879498	-0.455930322
0.649132198	0.065083557
0.629543199	0.149230888
-0.047883127	0.221926211
-0.170540289	-0.169710665
-0.077660427	-0.11389692
0.10345678	-0.391268133
-0.044938226	-0.297486885
-0.073517313	0.051429386
0.075575438	0.025551963
0.726068888	-0.081563679
-0.102539531	-0.06691989
0.523351882	-0.135231339
0.321401494	-0.514835076
0.221899478	-0.069949846
0.22826528	-0.537386028
0.582044408	-0.733133467
0.084176547	-0.18840533
0.59318978	-0.408675445
0.817404814	-0.473542564
0.510119031	-0.107858493
0.434927892	0.11217052
0.41309884	0.130689841
0.616796804	-0.486904926
0.605297401	-0.479925356
0.572827262	-0.78094695
0.856808244	-0.259261011
0.326630907	-0.396560345
-0.001782592	-0.124683068
0.123635319	-0.570190043
0.360522762	-0.371511083
0.247323071	-0.821032092
0.238575245	-0.355003637
0.032301266	-0.506905251
0.334073856	-0.06978744
0.38831084	-0.091166889
0.447722007	-0.67211214
0.551953609	-0.508510259
0.806026092	-0.829208985
0.614157037	-0.411378532
0.664064011	-0.869042603
0.126847723	-0.732761882
0.027855519	-0.57303974
0.027197404	-0.282220019
0.014062594	-0.915777638
0.482273405	-0.283259189
0.784051569	-0.881574526
0.424048402	-0.24130321
0.538894888	-0.844789524
0.264880107	-0.368095616
0.880094037	-0.854234365
0.710849278	-0.086070998
0.5	-0.5
